Minisector,PER,VER,Fastest
0,272.16577379047624,273.5441670139669,VER
1,249.0766076815423,232.82587194633876,PER
2,114.55284815773211,110.95957500519035,PER
3,170.83115102862365,174.6726688974545,VER
4,183.0159123061074,177.29308543804515,PER
5,212.97462854461529,212.64578952727274,PER
6,269.2895010552281,269.0240453675036,PER
7,286.5388095238095,288.3544046628571,VER
8,202.03090955199283,186.5710220419545,PER
9,131.78019449103044,125.05676678346465,PER
10,126.83557233671195,129.53932665250392,VER
11,178.96912227509378,175.1178765947619,PER
12,230.39400851339332,220.21621395746033,PER
13,130.2940756926425,129.2524236401476,PER
14,152.60829391765083,156.55058190164502,VER
15,114.03084531437449,113.95141595744388,PER
16,242.00183151799783,248.18182497398988,VER
17,150.29706780241045,144.2406787049304,PER
18,188.63354438117446,178.88414706244274,PER
19,126.5587344481744,124.66074142587222,PER
20,119.70918160819639,130.24794558224156,VER
21,120.16203431658876,115.29549228017267,PER
22,135.7171240664836,132.55130004933363,PER
23,217.33048562398875,214.1851751268531,PER
24,234.25151454528444,225.5938605848358,PER
25,,258.4876204673758,VER
