Minisector,RIC,GAS,Fastest
0,285.8899128633555,288.660906540211,GAS
1,204.3184907972286,206.09129583654098,GAS
2,229.30063331470643,222.98566208422207,RIC
3,270.14713266996824,270.15751488,GAS
4,241.85030611696067,245.18441719906758,GAS
5,131.48899862729834,128.6969705771609,RIC
6,209.0348269619961,209.69375080691358,GAS
7,257.5945347049158,253.51942045654775,RIC
8,241.9563964514152,237.08298788500957,RIC
9,230.0555011646984,232.13352335783392,GAS
10,272.4553747559116,272.07473543837943,RIC
11,289.3907335205776,289.05147435885715,RIC
12,299.44845481058985,299.58661439668265,GAS
13,304.89595239619047,304.54627689280755,RIC
14,298.9607370565079,300.12820855714284,GAS
15,253.02570679175008,251.61532994768132,RIC
16,239.63947326960874,236.06155039268572,RIC
17,276.57753585546595,274.1572852864,RIC
18,282.4660225890909,286.9678908341568,GAS
19,150.99674003907165,163.06813391586894,GAS
20,210.22464146584622,206.9659622544684,RIC
21,185.4690814998286,182.80261629131456,RIC
22,136.3568056222364,137.87964556710602,GAS
23,234.4648304378538,230.67680074240002,RIC
24,275.44515635232057,274.26165613957187,RIC
25,285.12999936,285.71309179488054,GAS
