Minisector,STR,RUS,Fastest
0,292.6477026105862,296.1496685717749,RUS
1,302.425037593985,299.36093753333336,STR
2,302.4420765257143,276.1224825596922,STR
3,104.88023948651475,108.21358784741,RUS
4,221.24768573769697,219.76927505326444,STR
5,279.4261405369706,272.1172321968254,STR
6,219.77324524472664,207.26261898675423,STR
7,152.62373856139698,157.44556228062558,RUS
8,202.30000794056488,189.35824688536798,STR
9,219.61766870898285,199.81961607240828,STR
10,115.77856724312635,114.00367002267217,STR
11,226.18176918890984,227.97876563352892,RUS
12,120.71041031276893,115.41896257243158,STR
13,209.67270993329308,220.67226481828595,RUS
14,267.68884788333065,273.27191944746164,RUS
15,207.60953025103785,208.46810884181298,RUS
16,190.95760402777483,181.16344249291384,STR
17,239.15412267474747,233.00583639054793,STR
18,193.8176900464943,193.94137608100755,RUS
19,184.91207604384007,181.9094695589787,STR
20,261.1965849625397,265.80354235844146,RUS
21,286.9619461906418,293.1216072,RUS
22,166.4207960766776,163.06099579334196,STR
23,208.53666218773336,208.516257447696,STR
24,269.7337366621865,275.24104787206346,RUS
25,282.5928576,,STR
