Minisector,VER,LEC,Fastest
0,272.33506204336993,273.16798514622826,LEC
1,291.63311397696526,290.8997371338528,VER
2,274.4957361281935,283.01926817463357,LEC
3,156.45286984614825,153.5195098862298,VER
4,193.2571909375312,197.30051472680745,LEC
5,169.38880526422798,170.14271331732192,LEC
6,161.38497256973164,167.10413883689594,LEC
7,188.37975383018082,193.30053157822258,LEC
8,243.96188488450218,239.2409152262095,VER
9,230.25974890819046,234.1306575663711,LEC
10,141.89592285714286,145.78795012142956,LEC
11,220.45657409915418,219.7937474940388,VER
12,112.54309556079025,108.43246563464334,VER
13,210.96527586899035,212.14628475481265,LEC
14,265.44886585242233,263.50268092812263,VER
15,275.88616583185376,276.3801337653212,LEC
16,177.59208762695795,175.4479837279552,VER
17,161.01979488026734,157.10328725453633,VER
18,251.02779595701125,254.156067941439,LEC
19,282.2057634711111,282.0097446671261,VER
20,293.8247788773171,292.15238432507937,VER
21,284.0846000737717,285.766743657997,LEC
22,238.5737275319357,242.96119179564627,LEC
23,101.65011953943666,102.65241241261258,LEC
24,225.04279390320542,222.80594900230648,VER
25,,258.5857133714286,LEC
