Minisector,HAM,LAW,Fastest
0,268.5476044127677,274.61626795497835,LAW
1,117.35126370809125,113.43331477317611,HAM
2,163.22877011695644,164.76653837724052,LAW
3,198.25353407933747,205.89991810561767,LAW
4,165.86401076477497,157.7703462087619,HAM
5,234.72216571555555,239.8595680222449,LAW
6,186.16592726311475,201.01831974730158,LAW
7,134.32283763937622,130.9023654966717,HAM
8,243.8436639208697,243.50173056493824,HAM
9,289.1207182518518,284.76188595899157,HAM
10,276.1228712293037,274.0422900111525,HAM
11,151.9274953731889,148.49150190044443,HAM
12,230.4159805921936,224.77523943957672,HAM
13,280.1974076760494,277.26601357385624,HAM
14,246.15438383199998,223.13027085099404,HAM
15,92.27522392829597,98.85450420945891,LAW
16,229.49583990675316,230.5484219920468,LAW
17,294.6476300960706,287.2817238789916,HAM
18,326.24218317714286,315.55608256866356,HAM
19,334.05859009809524,323.95527445878787,HAM
20,330.01627946773226,315.1383726019048,HAM
21,281.33337234106443,286.73657792174606,LAW
22,149.22055244101276,152.65869879711704,LAW
23,246.176166857754,242.64196349614053,HAM
24,298.86889212396295,273.93329272387217,HAM
25,314.3624992,,HAM
