Minisector,VET,RIC,Fastest
0,268.42814650340136,283.48104149333335,RIC
1,284.97197747854557,309.3124167045055,RIC
2,291.01164807370947,305.20529088677245,RIC
3,127.15828795088505,119.20262288386729,VET
4,199.9759602465915,208.20316612266666,RIC
5,253.99256744336392,255.6055829468759,RIC
6,142.99277972142903,142.59218290940237,VET
7,212.6498170662821,214.25710887590205,RIC
8,258.844614646712,260.75291933605445,RIC
9,276.9462796647619,279.2737688380809,RIC
10,242.11427269988033,230.80446740591822,VET
11,178.41270713780548,176.00874992761905,VET
12,201.49871955434574,206.39480024667046,RIC
13,144.19941562259226,144.7084537184538,RIC
14,185.6855447591052,182.0680937744844,VET
15,164.60102798499278,168.0959577047955,RIC
16,221.26440986599138,228.06367674254196,RIC
17,239.1621376,234.05199299710145,VET
18,244.71702854492753,245.11760836081746,RIC
19,234.75381536678896,221.79362618095237,VET
20,144.53622804926016,151.0844446357143,RIC
21,131.53859128888888,132.68992031337757,RIC
22,177.23608442500193,180.03473774420493,RIC
23,151.84342298950992,156.35919935866036,RIC
24,231.62965834135704,233.4167563967014,RIC
25,256.4916672,,VET
