Minisector,HAM,PER,Fastest
0,292.118055415873,293.7376369628981,PER
1,300.0451885132974,306.6386588310777,PER
2,280.2922841624844,287.3397515502363,PER
3,117.72121391652736,110.62432458154619,HAM
4,226.53088996104276,226.42674792949617,HAM
5,267.9542513268958,268.98778846467445,PER
6,220.62622820625197,211.00711320253487,HAM
7,164.58477517288617,164.0403601444683,HAM
8,206.90576745278324,190.0857441838587,HAM
9,211.93587947866922,210.03330534945093,HAM
10,116.2659108816873,111.34690001700413,HAM
11,229.8975036723936,228.1689822523306,HAM
12,116.89179663214999,112.71281403957394,HAM
13,227.94036340321426,220.39618436478986,HAM
14,283.8446377232491,270.9981466215681,HAM
15,229.08564587547764,220.7180780385354,HAM
16,200.88161914354797,196.5792628829825,HAM
17,255.37403542420142,253.48097808695655,HAM
18,217.8943598650992,209.91448941114203,HAM
19,182.09700453741928,177.04103983890195,HAM
20,267.2816175765393,267.11084609689794,HAM
21,294.9237767863779,293.7036012038095,HAM
22,164.8495298194041,167.02361211842572,PER
23,213.0535199737551,202.30995625448634,HAM
24,280.32815669800425,273.00995834377096,HAM
25,,286.7291669333333,PER
