Minisector,PIA,TSU,Fastest
0,289.808713094133,304.0512750248539,TSU
1,296.1338816327485,320.07628303265676,TSU
2,290.07780263818023,306.0425272180451,TSU
3,116.84701955807817,104.51809266301038,PIA
4,223.70772026008657,219.18851555517756,PIA
5,274.320761001864,279.5632134025321,TSU
6,212.0763075044898,190.15729616378852,PIA
7,161.81510386512207,165.2624896594013,TSU
8,207.21876556364936,202.14824835459982,PIA
9,216.88550014589313,214.5924270044544,PIA
10,121.13784789768569,113.94560077125612,PIA
11,229.76969144495112,226.96827175397405,PIA
12,117.98875618291072,116.38606547725364,PIA
13,223.65769614160342,222.83152271996363,PIA
14,276.78290679674893,276.13942972749203,PIA
15,218.77189154428277,202.80863793788228,PIA
16,192.31032095000995,189.86815588916315,PIA
17,247.3642064378999,243.5946684848485,PIA
18,206.06931849687004,179.9286337791359,PIA
19,183.10139689452555,180.92012935197278,PIA
20,262.4616007873775,263.51146685078845,TSU
21,290.9003041288889,288.53118781568827,PIA
22,171.7573106120513,156.386480084541,PIA
23,210.41902130514285,214.49449918557886,TSU
24,267.5040450107346,271.9540063908322,TSU
25,281.92857234285714,,PIA
