Minisector,TSU,OCO,Fastest
0,290.5752452860618,290.74730835333503,OCO
1,160.43257309513783,163.98589312178245,OCO
2,171.22125801373187,170.62114317820004,TSU
3,252.239609242197,251.9112132040917,TSU
4,286.47947929227513,283.0496469181103,TSU
5,251.09390971496694,241.58923437249496,TSU
6,222.85813781198053,225.26632452586972,OCO
7,150.11115435172164,149.84889908760962,TSU
8,230.75457871116188,224.23771194485514,TSU
9,279.84189386323976,280.5285767975588,OCO
10,298.1689325018182,301.5119562187755,OCO
11,306.7632220046956,311.93828594619885,OCO
12,310.13642174690057,316.41104278133946,OCO
13,306.0938198331429,313.2289458652557,OCO
14,124.87962239924047,131.5354260731672,OCO
15,117.76007155280551,117.99458558427781,OCO
16,102.43763196369882,96.93019876553525,TSU
17,237.7902293993266,226.613288501887,TSU
18,287.4542514394558,283.56831587845807,TSU
19,306.1474514651335,309.0449005956501,OCO
20,316.0772910168441,319.61753887336516,OCO
21,317.4171835379387,322.4576952671983,OCO
22,119.59546285582775,118.1116101912775,TSU
23,205.20127861612153,198.91033574410116,TSU
24,268.3386765402597,270.0884216745743,OCO
25,281.95357074285715,286.02569520000003,OCO
