Minisector,NOR,TSU,Fastest
0,271.57187403741193,265.66124965333336,NOR
1,287.60678117250245,286.0154135627052,NOR
2,295.419397952,287.92655344858554,NOR
3,128.56710142216315,121.18403887212425,NOR
4,192.22791240609732,183.13300750567618,NOR
5,247.6819180515222,249.48111284506714,TSU
6,134.46374036571427,135.14005830759316,TSU
7,206.22241060834767,196.3736930651098,NOR
8,257.66783782796676,254.37206206740723,NOR
9,278.893768368868,277.1736937402801,NOR
10,230.8208449197204,227.31675700900206,NOR
11,172.52365536983103,173.46769952716434,TSU
12,191.83877444752886,182.46533083285019,NOR
13,134.20898674105248,139.21161491339367,TSU
14,174.18853692315048,167.28086464256234,NOR
15,160.11776214697394,158.37578952891525,NOR
16,222.30989492894662,215.7295475768617,NOR
17,233.45731553686858,227.13428887266957,NOR
18,239.6619171496705,234.776939696903,NOR
19,224.9546990125177,229.99218604987013,TSU
20,145.8923967439316,142.31289834883142,NOR
21,126.79786912994788,130.45510958182382,TSU
22,172.603178320112,167.62480642585032,NOR
23,154.28133458582695,142.85128498822087,NOR
24,230.8654268903896,222.39524854663645,NOR
25,256.9833344,251.57828606060735,NOR
