Minisector,NOR,LEC,Fastest
0,295.9930331243513,295.0913591272178,NOR
1,173.38217128664502,165.6086163611608,NOR
2,177.199034613663,182.1015919102188,LEC
3,252.80521506917393,258.5700632868623,LEC
4,287.37757702702027,285.99489958221443,NOR
5,253.6841254969697,266.0397904080808,LEC
6,229.24943031077254,235.12314746848855,LEC
7,154.96718084466875,153.76195555543404,NOR
8,225.7814968370068,224.34560844804304,NOR
9,280.39660791665705,279.8652005119203,NOR
10,301.3426601732,299.9570286595969,NOR
11,311.701276477193,310.1395899870079,NOR
12,316.6612433801631,316.7732215008772,LEC
13,314.16517138257495,314.64731697301386,LEC
14,138.01268036871068,141.17245984125935,LEC
15,119.51339316631562,117.18934885177019,NOR
16,102.84840162510747,100.48825697889575,NOR
17,234.7718671453968,230.45126407352825,NOR
18,285.0598270657924,283.0140537097447,NOR
19,305.7063211688312,303.3978265777642,NOR
20,316.1916942953651,314.3158351093333,NOR
21,317.91528306646273,315.65456556214133,NOR
22,127.4991159004056,132.10539803413027,LEC
23,207.2156135949384,192.4649335382857,NOR
24,272.70026648194954,267.1771690329888,NOR
25,286.5249984,286.27916799999997,NOR
