Minisector,SAI,MAG,Fastest
0,296.4162728967282,314.5837963407407,MAG
1,225.25541896892562,201.51222668031383,SAI
2,231.49722370087113,226.03264640266832,SAI
3,276.64947153939397,282.5409007554411,MAG
4,251.6913992961401,248.8253896103896,SAI
5,128.65326448060287,123.95510100708367,SAI
6,214.4716939868783,211.09075755840047,SAI
7,265.4507171157098,265.9904761904762,MAG
8,250.98028906079847,245.1277395352381,SAI
9,244.09050787214068,237.15629831127094,SAI
10,279.56462858327694,280.18934363848166,MAG
11,294.62217380136053,302.0933669006803,MAG
12,301.617169824355,319.7878637566138,MAG
13,305.6434125172487,329.6339764477075,MAG
14,304.6947316519529,335.22717975906875,MAG
15,257.9816441139231,259.798123500473,MAG
16,247.08574627885386,238.53649079115948,SAI
17,280.78596909189645,284.5252164502165,MAG
18,292.6829165155556,302.7674452553949,MAG
19,165.3111291536853,157.6377085784452,SAI
20,212.776448708673,207.75687343568848,SAI
21,182.96245796669012,167.2152713016791,SAI
22,142.99189226324395,138.80393181523758,SAI
23,243.27237547329193,243.19285359933068,SAI
24,283.9871151912156,285.23811272156865,MAG
