Minisector,LEC,PIA,Fastest
0,269.6220767314286,276.0259317754386,PIA
1,298.4594295755032,301.20754797603564,PIA
2,312.6190903727891,314.57280998643273,PIA
3,321.15029179580955,321.1252232,LEC
4,324.9005005244435,322.95416666666665,LEC
5,324.3513323660151,325.5904761904762,PIA
6,208.27471053510692,219.35955008689342,PIA
7,108.38477089022898,107.26177128760173,LEC
8,179.7937712417112,177.4568503128836,LEC
9,258.67246358919397,258.29082369866944,LEC
10,288.5097391507003,289.68583118714287,PIA
11,161.83063454636394,156.39831288578335,LEC
12,96.30327085932544,93.74143031640712,LEC
13,110.08722144267053,117.65123115268311,PIA
14,221.2473834752532,222.9895014447802,PIA
15,185.34776656644686,193.25244175283268,PIA
16,225.22781426937044,223.90865729513825,LEC
17,177.63993181704518,182.35493983288887,PIA
18,227.98628662932066,241.43647824874677,PIA
19,276.66796394052403,279.6944912366578,PIA
20,258.8334298129323,257.6939330408081,LEC
21,147.96111690715824,144.66543646195876,LEC
22,95.07138157296761,97.88341663278703,PIA
23,121.73475718036158,123.4794583650865,PIA
24,222.1569148695238,228.4445801760584,PIA
