Minisector,NOR,RUS,Fastest
0,253.10451822248342,251.31156693565808,NOR
1,218.06458803960365,218.2837950171051,RUS
2,212.8159034983492,203.64632802930674,NOR
3,263.1110624171683,259.7575886061598,NOR
4,276.4769380849879,272.16580223207524,NOR
5,291.99848800530845,291.28150389759406,NOR
6,160.45885959208275,155.2895251272777,NOR
7,183.39565520354748,175.74085309739124,NOR
8,269.8288757814133,269.38664577386743,NOR
9,296.846020779861,298.70094245300214,RUS
10,307.363416349052,309.73245517493564,RUS
11,303.6007544084474,313.8373558817172,RUS
12,108.78070653383969,115.03316435154446,RUS
13,187.29732370265566,182.89926326132866,NOR
14,268.953814552449,268.6491740053092,NOR
15,295.718076585996,295.8015428021152,RUS
16,295.7243716305577,304.84691879439777,RUS
17,194.00916009466417,189.49702387820795,NOR
18,221.3817182521549,208.47699223298608,NOR
19,273.08092109545146,262.9499171692067,NOR
20,150.35220498071118,160.74337768107463,RUS
21,147.3714603949671,137.82861725205234,NOR
22,224.24314395249814,206.66510499556873,NOR
23,233.9646610437741,234.2667861957909,RUS
24,161.2627747628191,158.78117879747288,NOR
25,,222.23750080000002,RUS
