Minisector,RIC,OCO,Fastest
0,273.3778598977444,271.0925075177853,RIC
1,110.90254910097548,108.92102209072448,RIC
2,157.58784763265308,158.5015679567075,OCO
3,219.03172109047173,201.6378395654321,RIC
4,154.98421997848615,154.05261206284104,RIC
5,239.076768188486,236.96938980969017,RIC
6,210.8694931362963,169.74154826666668,RIC
7,129.51054131047374,131.99769642200926,OCO
8,231.59666133955494,235.18349381079366,OCO
9,274.2970512507228,281.5616530831704,OCO
10,271.500959285164,278.90089189714286,OCO
11,144.3542635613392,144.05533439286185,RIC
12,223.09435054351027,222.78244123796622,RIC
13,271.7649020015999,272.43964606577777,OCO
14,255.98714950456142,253.09474102285398,RIC
15,96.57015489985923,98.30738580274576,OCO
16,231.46388693008154,221.5955096178084,RIC
17,270.04770074460146,270.8816664252631,OCO
18,290.9473793194504,300.7284319384319,OCO
19,299.7197806500251,315.29967859820175,OCO
20,304.1621675873016,324.4319958987928,OCO
21,268.97813158095096,258.7713092142849,RIC
22,139.99870891118965,148.338429908392,OCO
23,227.47075728118912,235.66839045187945,OCO
24,271.084375507496,280.54128906666665,OCO
25,285.4000011636364,,RIC
