Minisector,VET,OCO,Fastest
0,261.01911767843137,258.9441194666666,VET
1,132.28531639693148,129.9737132071324,VET
2,191.64877778932862,194.16328471759854,OCO
3,244.0456582633053,242.3828421647059,VET
4,259.88645833333334,259.02039578270336,VET
5,179.66720290470894,180.6121625266899,OCO
6,144.789594356261,149.13611168395062,OCO
7,179.13550759884058,181.4698718538463,OCO
8,103.07502919210222,102.37424938165996,VET
9,79.25912927758979,77.72307269660175,VET
10,93.49795096568472,94.80824542782746,OCO
11,177.08451546969638,179.7977026985382,OCO
12,243.2010274180858,242.033259643603,VET
13,268.3377777777778,265.32745041568626,VET
14,280.07444444444445,277.6815478095238,VET
15,121.55565113356926,120.10212836922119,VET
16,134.82619058285715,144.31798194829932,OCO
17,194.43656749900646,191.62009105317964,VET
18,197.29444444444445,197.88968071111108,OCO
19,213.5428236383894,216.68815938245615,OCO
20,133.2057337190746,132.02569380640142,VET
21,121.26589889840339,110.52933054569421,VET
22,91.39787026962964,94.34000751020409,OCO
23,193.8833847228147,193.69714885295969,VET
24,247.171568627451,246.12152663703702,VET
25,259.6375008,,VET
