Minisector,ALO,PIA,Fastest
0,293.28112101847876,294.50059119238097,PIA
1,300.60122820661246,300.8542238857143,PIA
2,222.57678789262545,214.9278663455373,ALO
3,139.67561532993062,142.76737187809525,PIA
4,223.15230696543304,217.84705683075913,ALO
5,166.70418689751122,160.6322591978106,ALO
6,178.27218401215654,171.31175877246352,ALO
7,252.7315013309102,251.35403132800002,ALO
8,279.2625189211808,278.0932719206723,ALO
9,286.82427200454543,285.99937903686276,ALO
10,256.5960408410831,260.84177780123247,PIA
11,243.8945308781395,238.52597441103535,ALO
12,245.18515258794187,234.869381048681,ALO
13,215.99040739961907,201.62596795569138,ALO
14,132.8656605753921,133.74081960156863,PIA
15,142.64717152172926,140.2405343116667,ALO
16,185.18875001904763,174.27769933439998,ALO
17,246.76723414518517,249.31898088937507,PIA
18,258.3002535755389,240.71235794705925,ALO
19,118.69343650026232,115.53843609700378,ALO
20,193.4277679388543,200.79323000888888,PIA
21,201.51540130993232,197.48872723228627,ALO
22,227.57176012334935,231.2380489078095,PIA
23,261.6938905722488,262.9203483994227,PIA
24,277.9268785280548,283.206021758984,PIA
25,288.72618971428574,,ALO
