Minisector,HAD,NOR,Fastest
0,248.73335719963148,248.92023658495242,NOR
1,132.27060958148428,132.52568729435228,NOR
2,280.6296650102682,284.5061429772922,NOR
3,320.9282027402791,321.13794307838185,NOR
4,298.6464783551323,302.11367534069547,NOR
5,318.4849835409636,321.72646224400404,NOR
6,321.9217128237037,323.7565595675914,NOR
7,314.22944759590246,318.6249999259259,NOR
8,194.0335348222233,191.7946309380069,HAD
9,194.53460128634921,198.01452303466223,NOR
10,182.2964768218912,170.67441526396564,HAD
11,164.9805707275193,174.0463372030577,NOR
12,241.9699341407782,252.26282902042675,NOR
13,260.8894707564221,265.97290403127545,NOR
14,272.3772385205592,261.8956148092734,HAD
15,258.19265438499997,244.59269139336214,HAD
16,166.97629944332064,168.02966230582425,NOR
17,183.82023674033087,189.2418530141967,NOR
18,248.01831069949074,256.1103353993431,NOR
19,302.76727448416966,306.23092775949414,NOR
20,322.74351951595105,323.59619625727714,NOR
21,312.79756924814814,314.1261579345634,NOR
22,300.54963798619457,300.4575085655027,HAD
23,243.73886019800253,227.9084792321212,HAD
24,118.06606628452542,119.85916736846491,NOR
25,219.34499712,,HAD
