Minisector,SAI,NOR,Fastest
0,277.24016785066664,288.95991560638214,NOR
1,160.08070407445166,159.5003371270963,SAI
2,151.4397550800501,152.7308458936063,NOR
3,232.66018389559085,229.00928647068076,SAI
4,284.3249064825487,283.357815347412,SAI
5,275.81124640277056,283.202081550045,NOR
6,143.5235195572802,147.2077959720322,NOR
7,141.4123427891681,145.84691774630392,NOR
8,141.98669091792712,143.14035623859914,NOR
9,194.6097958342381,187.4283266099975,SAI
10,126.71525281562263,132.80744329477977,NOR
11,120.91412955156588,121.78644998749067,NOR
12,176.92138423576415,172.84533442587053,SAI
13,269.41497985396825,268.1651462756962,SAI
14,282.8107141962733,282.0542701648033,SAI
15,145.75178569070295,152.3122993798797,NOR
16,207.79680314715793,210.77964814530728,NOR
17,179.650434997987,175.52829702303308,SAI
18,274.4817210984127,271.51190453664594,SAI
19,294.3160319699427,292.65833315555557,SAI
20,305.46483123809526,304.467828658601,SAI
21,311.94711199816993,310.8364582933333,SAI
22,314.07791664,312.76098487272725,SAI
23,316.05375002666665,315.02875002666667,SAI
24,314.6733333333333,313.6112499733333,SAI
25,310.0,308.0,SAI
