Minisector,LEC,GAS,Fastest
0,300.13141353202616,283.9668939393939,LEC
1,163.48285408310608,154.70618281316789,LEC
2,169.14472040893637,175.27297621471862,GAS
3,247.59002782577778,251.88371936907828,GAS
4,282.40439841693126,279.79941379518453,LEC
5,244.09130963279907,243.5622453548896,LEC
6,216.47539570152958,218.92915549302833,GAS
7,151.74376179732585,150.75618945277813,LEC
8,226.69336437456388,229.27715571717172,GAS
9,278.1489584811428,280.4547727030303,GAS
10,297.1736534358095,299.3600888313213,GAS
11,305.25339564485944,308.229644089685,GAS
12,307.5219907555556,309.87083333333334,GAS
13,304.1130772821659,301.08889111619044,LEC
14,130.09121364810292,131.73761682185787,GAS
15,124.15077838096813,120.49561514970993,LEC
16,106.34984587839104,102.79495740066575,LEC
17,233.40784053982642,232.75394648858804,LEC
18,284.9349701364767,287.2131488609524,GAS
19,306.3582170489793,307.02728294117924,GAS
20,315.91512412114287,317.0733040990278,GAS
21,320.4341891832568,311.6845264522222,LEC
22,127.28716082618412,112.62869999740259,LEC
23,204.29028796681732,203.0649968693247,LEC
24,270.3739027857143,269.3752582345974,LEC
