Minisector,ALB,SAI,Fastest
0,295.70902746666667,292.9148549101449,ALB
1,304.51969692121213,300.73100656623376,ALB
2,273.8158121033571,278.4564248444444,SAI
3,113.73756797111456,114.94599904110422,SAI
4,227.7359180505747,231.52531977528935,SAI
5,274.1211378151619,273.43049954133335,ALB
6,205.32512905050504,202.36119639698717,ALB
7,172.06509289194074,175.46633732296436,SAI
8,205.08583683034857,216.61009120950177,SAI
9,216.1380962064516,222.53775596277603,SAI
10,117.9300316723128,116.79257127012592,ALB
11,231.51150637979092,233.90442819423166,SAI
12,121.04875281719801,121.38227788038509,SAI
13,228.96034368735633,227.92026573089643,ALB
14,275.8906282412576,273.98733468518793,ALB
15,221.34516276989245,219.78583319313842,ALB
16,198.3362348476105,204.2770216831405,SAI
17,255.80518054603175,253.5759613948718,ALB
18,202.63717162700237,199.91756893346795,ALB
19,191.33846118991596,189.1818091380415,ALB
20,267.7140375527893,266.1601765286581,ALB
21,292.0159720888889,288.9647490713629,ALB
22,168.26485601256826,168.79666388090632,SAI
23,219.0605588645161,217.2786641402013,ALB
24,275.6034739429998,274.61345541962845,ALB
25,286.7,287.0458325333333,SAI
