Minisector,RUS,NOR,Fastest
0,253.81531598006566,252.9754441031111,RUS
1,214.63586353926655,207.61429218097038,RUS
2,207.01762549341964,208.5923131441408,NOR
3,255.58793473855073,259.8128669959153,NOR
4,268.9101728272965,277.44775183507,NOR
5,289.3031996160983,290.38559983026653,NOR
6,162.58742055088786,147.28006519378806,RUS
7,185.67435141885056,190.2838721875303,NOR
8,266.86303631454706,269.50020856444445,NOR
9,293.61215719896103,295.8367139168831,NOR
10,303.59301588825394,306.499896480802,NOR
11,306.1841921942857,301.5610329788662,RUS
12,115.57044055419857,112.66438850984127,RUS
13,194.63830932597702,200.08564643095238,NOR
14,272.038943910559,272.9760787345275,NOR
15,295.3753288701754,295.9934278545455,NOR
16,301.8088645650872,290.2052674109091,RUS
17,186.75640531349862,178.3096176052567,RUS
18,217.7801582556539,226.8946124710665,NOR
19,269.5522232984127,269.2345456290909,RUS
20,145.31007878104106,140.5713722222103,RUS
21,142.25719694999356,144.77984841759704,NOR
22,217.41227807390476,228.70494872751703,NOR
23,226.18968083262456,211.5984451082082,RUS
24,156.74772667067884,160.60677848941177,NOR
25,226.62953098526467,,RUS
