Minisector,PER,LEC,Fastest
0,243.83464134133908,245.3381896827586,LEC
1,276.35126775652174,279.51180555555555,LEC
2,189.4589672008931,184.85603191255106,PER
3,151.50888887071469,155.77393413953487,LEC
4,257.77344579009815,255.79296988607717,PER
5,269.099613030607,272.9922161172161,LEC
6,219.26463602868176,216.9761745614384,PER
7,201.5784393745228,197.2113774976871,PER
8,152.0204885087156,151.6503306538639,PER
9,209.48796927591908,213.20558515273865,LEC
10,271.96857080076194,274.228,LEC
11,126.45091483397044,122.62973806403137,PER
12,205.36472166273754,209.96193379074109,LEC
13,267.79499942399997,269.72542857142855,LEC
14,287.13066720309075,289.6654951766528,LEC
15,293.59257252173916,297.88999680738425,LEC
16,251.3811384346522,243.4027296367816,PER
17,135.53919050893813,133.80577066658702,PER
18,130.0415860948986,131.39703340750003,LEC
19,121.42160081090567,118.69356837402192,PER
20,221.4109693136225,223.97158284961083,LEC
21,250.92746850088184,253.42685187160495,LEC
22,238.49406152366893,241.47146768662728,LEC
23,217.89231816666666,222.99821400184334,LEC
24,140.10113623538652,140.83175540982486,LEC
25,214.0,,PER
