Minisector,RUS,MAG,Fastest
0,287.78633007414646,293.5486719873836,MAG
1,297.88356554308126,303.1865474342857,MAG
2,270.64293791492065,278.48645626755473,MAG
3,108.9730352518624,102.75433726942063,RUS
4,217.1561518880465,218.3377062848,MAG
5,268.58119417918675,271.58587961984136,MAG
6,211.0730583780642,218.08523678819847,MAG
7,159.25679642763427,151.37786950211176,RUS
8,216.98895831752776,214.82759570533725,RUS
9,219.8042824521368,211.35182681668306,RUS
10,111.77861468290442,110.41286794183412,RUS
11,224.62309989812778,225.99334445398443,MAG
12,111.32352613092834,120.56938615679076,MAG
13,214.7432339635108,216.13717146380952,MAG
14,273.4428390387686,275.4944650679596,MAG
15,215.01329622839003,213.62553922866212,RUS
16,195.63637471511692,179.22789548611337,RUS
17,248.54767187936508,247.64600647082892,RUS
18,199.85630137874497,204.56099059877118,MAG
19,178.62921657482764,170.5672796158396,RUS
20,258.7858097156514,258.8125418745708,MAG
21,285.7337686067019,288.9941934485426,MAG
22,171.09029766069472,168.5602011698475,RUS
23,212.7017653079365,208.82287987411138,RUS
24,268.7730121191526,270.73934197956515,MAG
25,281.0,285.6468744,MAG
