Minisector,PER,SAI,Fastest
0,277.55383101809457,277.183489510559,PER
1,296.79318204675326,295.1037824487597,PER
2,232.00846932204584,222.04818846733772,PER
3,128.23907338107662,125.16007906347073,PER
4,186.37350856906383,182.77287639089883,PER
5,118.26456936582092,120.39374231135554,SAI
6,214.16046634876847,213.777415241014,PER
7,264.4948739937443,258.31267383492064,PER
8,175.69958699542101,179.08491586742903,SAI
9,182.03058223399643,182.28324484748228,SAI
10,266.97152693333334,264.5195940190476,PER
11,183.2438210705288,192.22473012320575,SAI
12,166.01662840877896,164.12628921319958,PER
13,259.54989710795485,256.1075003733333,PER
14,276.28260823188407,272.68115982608697,PER
15,289.99346295924886,285.2675629225009,PER
16,201.26720626236562,204.3976556702095,SAI
17,198.8050090534627,192.7553591856167,PER
18,244.36048346373627,244.1330144,PER
19,285.86161592981716,283.8580551354854,PER
20,297.2760009489177,294.2785980589203,PER
21,204.0396124374947,210.085352935756,SAI
22,146.37312024744895,145.8790773634641,PER
23,156.88745036250683,157.75123201701032,SAI
24,227.4198381505754,222.2086255717204,PER
25,261.61250240000004,261.85714285714283,SAI
