Minisector,LEC,VER,Fastest
0,295.8840655353868,291.2610157992419,LEC
1,304.6342263957672,300.55955311075695,LEC
2,297.4296431197884,280.9680209962643,LEC
3,115.48915027844048,111.39138598706128,LEC
4,230.65071724045123,227.2526085193223,LEC
5,269.8171942850506,265.91636966494576,LEC
6,217.8868947031759,206.76138644795103,LEC
7,169.17467147345585,164.4231963457875,LEC
8,204.84270441587952,201.12086472734921,LEC
9,222.1117505523845,216.0024892723564,LEC
10,117.75683213334308,112.1263568310951,LEC
11,235.6302047239898,229.12798535157947,LEC
12,120.21018216868191,117.90711243866637,LEC
13,228.35918829174292,225.5175778857609,LEC
14,276.6785488635118,272.2538470490524,LEC
15,223.17121735446267,218.96821941684564,LEC
16,205.17751295218915,206.64030481314379,VER
17,259.46097751881905,250.59258129063141,LEC
18,208.18437884634196,197.2867660987919,LEC
19,187.81926435139164,191.761088628506,VER
20,273.47341670703736,270.6094058124933,LEC
21,297.4959279932571,294.5807937660639,LEC
22,173.79722414151766,159.2233847738332,LEC
23,216.70313113560266,218.3374929233166,VER
24,275.5222917831382,273.7814935950305,LEC
