Minisector,RUS,ALO,Fastest
0,252.93487339094725,255.13288735188846,ALO
1,212.15093334739927,199.9186631163454,RUS
2,205.63738735912833,208.18785993344315,ALO
3,260.4435881762963,261.75468620676327,ALO
4,277.0818237705544,275.5946451755051,RUS
5,293.5728563603689,290.9747909977611,RUS
6,144.69067538705139,148.19140218677606,ALO
7,184.83202445409813,193.91275575613915,ALO
8,269.9447674404431,274.6851453500419,ALO
9,296.3207416222671,310.47252670658463,ALO
10,309.79682553416933,326.3867437902521,ALO
11,307.14174030239604,299.1667977345421,RUS
12,103.79950480073958,100.28124175279763,RUS
13,205.15852257568918,209.23810641790706,ALO
14,273.16703636012835,282.8258305940683,ALO
15,296.0422190178685,313.4476369859575,ALO
16,293.8231641005614,312.22430556825395,ALO
17,181.2574252994163,171.27207268241955,RUS
18,223.84374476894757,231.53411687466667,ALO
19,271.27336959789193,266.306350592795,RUS
20,137.14374772474122,136.48705810753248,RUS
21,146.5597546466359,149.67816372578113,ALO
22,230.25650420121212,233.25112710161082,ALO
23,247.49690595258886,203.63698350318464,RUS
24,168.10630866965175,169.63518978495895,ALO
25,228.62857325714288,,RUS
