Minisector,VER,ALB,Fastest
0,323.44350764295353,320.59366806522365,VER
1,246.67733135746033,223.30286652231294,VER
2,124.18738121442819,127.256586197595,ALB
3,240.93798409384732,218.06580576948147,VER
4,191.70348269796696,184.63527274968203,VER
5,251.27695862289175,237.6338670901216,VER
6,235.8704512191062,217.55918163801306,VER
7,256.9349283752248,258.05018956576646,ALB
8,291.3423724711111,294.4815627168254,ALB
9,214.37520010950516,181.94444938418243,VER
10,192.7272087123707,210.916632576946,ALB
11,272.350345038002,277.9651906643817,ALB
12,226.32795559461528,203.053586805963,VER
13,249.02141147878788,258.4529555382588,ALB
14,292.77215429075346,298.18098447030303,ALB
15,309.8318920725265,315.00536653890634,ALB
16,309.07043630629863,304.8279581883598,VER
17,213.23095734377173,199.93618353499093,VER
18,255.51693974641537,267.35439531427716,ALB
19,295.4484487256219,305.3545365518829,ALB
20,311.1933537202336,325.74647082884354,ALB
21,308.31624662643276,324.0645637260606,ALB
22,157.013046268743,139.45161824842975,VER
23,226.30748340323203,246.12065837723964,ALB
24,286.6940209798758,299.2878688687987,ALB
25,301.9312496,,VER
