Minisector,PER,RUS,Fastest
0,302.64079548657077,298.2225074952657,PER
1,155.039626305775,164.16274690398532,RUS
2,147.25844215361064,157.1810052797581,RUS
3,225.4460640590912,228.35152345991986,RUS
4,287.6151578629095,284.22683408618514,PER
5,290.6814715398347,294.1380681896296,RUS
6,141.15322342423335,148.5281498381254,RUS
7,141.96428748914244,152.47492679332518,RUS
8,144.4972546646634,152.90782458920634,RUS
9,185.86141092519284,175.61592839114755,PER
10,126.47965323294484,133.40650322494116,RUS
11,134.01803228170377,132.1245101318183,PER
12,159.1155727659925,163.30819740929593,RUS
13,268.3196016,267.4363015613007,PER
14,291.5655328872727,292.8289920004233,RUS
15,153.67033619285465,148.20429695095515,PER
16,198.3857854004535,217.6280031841689,RUS
17,169.6176796624409,170.87025319511991,RUS
18,271.22630585778086,269.47647865702066,PER
19,295.9567183610582,294.27115696969696,PER
20,311.12344105187304,305.90033352533334,PER
21,319.3966228710559,312.9903145907802,PER
22,323.47604169356725,317.21126052231403,PER
23,325.89923274816056,319.0353529904762,PER
24,326.56804686,320.0711786057143,PER
25,327.0,320.0,PER
