Minisector,PER,GAS,Fastest
0,298.2389932387662,286.09069727625973,PER
1,316.278074074074,297.57541558257384,PER
2,322.28121218327277,303.5252714801542,PER
3,312.12359282269404,289.048529132549,PER
4,168.68767434404506,170.73971332063493,GAS
5,203.5304548327162,200.44744455111112,PER
6,234.63721853218445,231.1670178031623,PER
7,266.2379682188894,263.67555555555555,PER
8,251.14698760082817,254.8844241655707,GAS
9,158.7899816862745,158.94469329992737,GAS
10,220.22897236791388,222.29723583613378,GAS
11,131.720972018101,126.2126825183384,PER
12,224.71458347936507,225.37303176160856,GAS
13,179.93338324987656,181.5285629768079,GAS
14,214.46297151428573,205.85633598451358,PER
15,232.63430954324363,234.990625015873,GAS
16,257.2014700411318,258.56092719411146,GAS
17,280.91049572583916,282.8556172839506,GAS
18,157.27331053920537,154.50565142093532,PER
19,164.91255271954674,157.5410078528395,PER
20,142.3187495313828,138.04360472494184,PER
21,220.77361932312382,221.65306996265474,GAS
22,248.20227797231746,259.4530348634574,GAS
23,240.043552648274,244.22633048338793,GAS
24,267.5669588108402,269.1184939044282,GAS
25,279.35,280.71250026666667,GAS
