Minisector,VER,RIC,Fastest
0,306.2494018557522,308.4810949393139,RIC
1,238.63223804018307,235.82407450451464,VER
2,138.7238074936591,141.43425272962813,RIC
3,222.8689571835385,221.67552477613808,VER
4,266.6738186769262,264.64584177847075,VER
5,290.2640227575434,290.05992613773935,VER
6,302.30690487873017,304.6062499809524,RIC
7,279.37170694934105,289.19044762028926,RIC
8,176.46198728074305,182.1515486671143,RIC
9,241.8179225124577,242.89594234587972,RIC
10,273.5265772728767,274.3401587177229,RIC
11,264.4035407364151,271.22738752611593,RIC
12,215.00553119336456,212.80300491410273,VER
13,132.58237466084518,138.41195109478127,RIC
14,126.10304369282107,123.79611259046872,VER
15,170.55626666079914,172.27789535952675,RIC
16,129.04185925767098,126.52454677842852,VER
17,234.23814079899026,232.25578695034056,VER
18,191.09024605339098,194.65897549722277,RIC
19,169.41087460894198,167.85982395064906,VER
20,247.8327566727681,246.95467438188356,VER
21,275.90653033592196,277.054148583817,RIC
22,292.47020095238094,293.5540325705394,RIC
23,301.82580883256065,303.47341662148114,RIC
24,306.8059426710223,308.221900299705,RIC
25,308.0,309.69037611638464,RIC
