Minisector,VER,PER,Fastest
0,290.45461195541577,293.11420752217686,PER
1,160.66243825620208,167.55845240482165,PER
2,175.7634158556125,173.6993114692289,VER
3,252.69619308538577,256.1737949042424,PER
4,285.6556672842512,283.858379543319,VER
5,246.16699236173915,255.2147606563037,PER
6,222.10007837090987,226.80066489817187,PER
7,153.11353495987754,150.48848436706658,VER
8,231.4251425337068,229.18417995844774,VER
9,281.17589088596054,282.38571392,PER
10,299.30648012121213,301.3399295959505,PER
11,307.54377713670834,311.35728456605045,PER
12,311.21413456205596,316.0029959299048,PER
13,304.5202445118595,316.5454034022534,PER
14,123.19573098062033,134.25100495926714,PER
15,120.41184018529393,119.80249502086491,VER
16,106.50738484210791,99.43888990406927,VER
17,234.22122736816104,236.48231616725886,PER
18,285.1104481719728,287.52976176483185,PER
19,305.8071284876331,308.6746691238095,PER
20,317.4993693738346,319.02508863272726,PER
21,315.9421746560985,323.0004914637576,PER
22,121.2637822716578,123.85779288471883,PER
23,207.09607175103665,199.28545461301775,VER
24,268.2001098942044,269.9728447333007,PER
25,282.84999999999997,285.7,PER
