Minisector,HAM,ALO,Fastest
0,264.72300352016845,267.7143271403922,ALO
1,282.2109843530159,289.20419363387504,ALO
2,282.5801551539145,296.51338382222224,ALO
3,127.0925864930773,131.20404596353472,ALO
4,194.55049221016722,181.1019504158368,HAM
5,256.6145671348148,259.1630851320301,ALO
6,139.3467064394277,141.2414643239139,ALO
7,200.35506285073595,185.18884610329494,HAM
8,256.37709175017545,245.83757065457294,HAM
9,276.81048587555557,270.38926264603424,HAM
10,229.0307597303412,236.69611874245612,ALO
11,175.84260146259442,189.91425556238448,ALO
12,175.16073391733008,173.55921426778195,HAM
13,141.04426371285714,147.47863547921665,ALO
14,170.77239001128171,156.9244713927192,HAM
15,156.47292830222224,150.7821781716318,HAM
16,213.0750162536332,191.9562240982659,HAM
17,228.1015997279811,235.33574977661863,ALO
18,232.465179078557,220.21705416219334,HAM
19,239.98755291924505,247.7427625924934,ALO
20,145.77837879036414,137.6836417062313,HAM
21,137.54224631476038,147.3752412176571,ALO
22,166.85856419438008,146.58498303596198,HAM
23,151.12187656393266,141.0007697399647,HAM
24,225.30324333718391,209.9743801247536,HAM
25,248.9624992,246.41583306666666,HAM
