Minisector,RUS,TSU,Fastest
0,303.54930083321904,309.61305880242423,TSU
1,140.81160078486857,137.30806758787847,RUS
2,215.67041669333335,208.76801242843675,RUS
3,274.8898393946149,272.34973959715927,RUS
4,312.91494047577027,309.4250284661818,RUS
5,319.5001468302792,311.9215463054375,RUS
6,150.73846895131675,147.59420740374418,RUS
7,246.23947447641325,242.14372696696225,RUS
8,120.05506878163062,116.25304879974644,RUS
9,130.8947958883589,146.92214388642572,TSU
10,267.8922547162138,270.26716936519347,TSU
11,299.26378213818185,298.50081510260867,RUS
12,259.14005094352007,239.24929446148957,RUS
13,155.98986832756384,150.96245261081992,RUS
14,267.73671003437454,272.2590272464808,TSU
15,304.41666211601733,307.7757341126871,TSU
16,319.8615603153623,321.33363707222225,TSU
17,330.6509482076564,327.84490044121213,RUS
18,335.8096102508642,332.4939082244156,RUS
19,335.3368985498413,335.97082304265007,TSU
20,239.83431099908287,226.7724841250413,RUS
21,149.05805223321715,156.9363933023168,TSU
22,271.6831873484058,274.8357309438683,TSU
23,308.66782079125977,310.02466459492064,TSU
24,324.4693523428571,324.4731562327273,TSU
25,324.0,,RUS
