Minisector,HAM,RAI,Fastest
0,270.47377429691875,276.1204650605557,RAI
1,290.63450017705026,293.7905680753584,RAI
2,297.26386388143413,301.6098207560679,RAI
3,128.80678965603067,130.7866083078298,RAI
4,191.87035274832894,194.46322437613614,RAI
5,258.1865361735447,261.1275580105663,RAI
6,141.59817410238895,142.22402730824345,RAI
7,204.1508444914732,203.70230925831143,HAM
8,260.8786125510762,263.38291268697174,RAI
9,283.3199916485172,284.8518231333333,RAI
10,225.8016133544172,236.56821911569492,RAI
11,177.66451809282793,188.85383665808905,RAI
12,186.57217349130204,190.19947618599798,RAI
13,146.18494521325283,148.13867114297736,RAI
14,179.28385981456222,172.92635278380507,HAM
15,158.62569009785693,159.67312192112718,RAI
16,215.63926596410235,209.7768124360351,HAM
17,232.80235957897594,237.93504876109463,RAI
18,236.51236486268607,239.8059039921711,RAI
19,236.75289857872244,256.9129724991625,RAI
20,144.2684858275267,142.2492002114188,HAM
21,138.15980589514703,138.15756358713358,HAM
22,168.9105459829106,166.7348256902939,HAM
23,150.80359573593495,151.08685182581635,RAI
24,227.63940055470994,231.47848675285007,RAI
