Minisector,VER,RUS,Fastest
0,272.54683324266665,269.49816686842905,VER
1,245.51750954550843,244.1731492739469,VER
2,117.95407132223019,117.03559219883968,VER
3,176.5303038709841,171.22656779064582,VER
4,194.89585598817084,193.65928958754736,VER
5,198.8609649721039,197.38810891567107,VER
6,264.33602710857144,262.43303549002076,VER
7,286.5288562154882,285.20902803137255,VER
8,235.4076778359977,228.59965683039593,VER
9,155.3551703658558,145.59692896279356,VER
10,120.65127033013033,117.14214329231511,VER
11,149.59767969536065,151.54281270422595,RUS
12,242.95725892155843,243.41220747881297,RUS
13,143.85779134490426,145.90580676281186,RUS
14,154.3319458190556,146.2249545259847,VER
15,107.6880779764918,107.12835390560093,VER
16,220.17391727511026,224.55167962993247,RUS
17,229.682646236965,230.35223175455556,RUS
18,128.3000271421852,115.60222650834064,VER
19,239.8435268227119,240.12337067528054,RUS
20,274.28488117769786,272.570108630303,VER
21,200.36580546156202,204.89561450132132,RUS
22,154.55877061873497,150.64494665606125,VER
23,218.67378252493654,215.16302751291735,VER
24,230.35533696202253,226.76013708513707,VER
25,,256.0,RUS
