Minisector,VER,HAR,Fastest
0,249.5973967111111,244.97685222665177,VER
1,283.2802991740874,282.0063492063492,VER
2,176.7783522239744,172.2717093252151,VER
3,161.53010305741498,161.11708501247793,VER
4,256.13247812871134,255.50009755028796,VER
5,271.01239109838235,271.12675848875267,HAR
6,235.38549577733986,223.6851816114612,VER
7,206.79143919667948,198.56846039908322,VER
8,162.2821970519744,159.33269275989733,VER
9,225.8750006153846,218.5290732610403,VER
10,271.01016238504627,269.9022963109104,VER
11,133.378233700187,128.1032547280844,VER
12,212.03817564895945,217.16309379047618,HAR
13,276.14940479999996,274.63477298219385,VER
14,297.02678580571427,296.15814519498747,VER
15,304.8703947789474,304.18947368421055,VER
16,249.0122705762916,229.96967428906606,VER
17,130.40172527909615,129.33128685613232,VER
18,129.7179543274001,128.18498535184162,VER
19,119.89605557253405,116.61306969006901,VER
20,226.9347746051282,223.3077605919414,VER
21,258.36967545872324,254.27030930888802,VER
22,241.2981466852052,225.815668096,VER
23,218.60818058271605,211.39998341790934,VER
24,139.6132145314647,135.79982466604005,VER
