Minisector,ALO,NOR,Fastest
0,297.90639228799273,314.3867853420606,NOR
1,217.11934875943413,210.58576669968255,ALO
2,229.0540914499734,224.99840095980466,ALO
3,276.8397590499766,281.4485073308119,NOR
4,255.8835579302603,241.0799622639859,ALO
5,124.30794168354858,125.10614249142857,NOR
6,215.02034943472316,211.30183828696906,ALO
7,259.8685587790505,261.5795755090683,NOR
8,246.45405994314464,243.24275596974283,ALO
9,244.00429489631833,233.1451763774359,ALO
10,275.0069468073439,274.7129312636257,ALO
11,292.22218067555553,288.9896765596331,ALO
12,299.81751491742,305.68527874493503,NOR
13,301.7314044337397,320.28649569091345,NOR
14,297.4502138377335,325.4240846949495,NOR
15,254.8498521138189,265.65177026438096,NOR
16,244.766862488658,245.99069930707165,NOR
17,279.63676206560535,285.6178272581818,NOR
18,287.1603615425837,303.60417771259796,NOR
19,161.66598786574755,162.1271081691021,NOR
20,210.96600402068026,205.50302297770213,ALO
21,188.68841130091604,191.82721360397406,NOR
22,145.59559190554305,137.61344828336877,ALO
23,242.79787736684145,239.19479767083342,ALO
24,283.46329660709506,294.63449841471373,NOR
25,294.8214290285714,309.08269230769235,NOR
