Minisector,HAM,NOR,Fastest
0,291.13088402341856,311.0130436173913,NOR
1,301.0930643279503,319.46187504,NOR
2,275.3403730804799,287.0947178236827,NOR
3,116.39511041312467,115.27787884772908,HAM
4,228.1167091115613,227.43536355171094,HAM
5,272.09077165936293,270.0689048259048,HAM
6,219.39770962380953,206.73626966577726,HAM
7,175.17917701278245,177.62534737777776,NOR
8,209.23914104242425,220.32463016751709,NOR
9,217.9268068580979,223.48819456,NOR
10,120.24437897207484,115.44450182351967,HAM
11,229.80277735111113,231.75463650333447,NOR
12,121.90216956276115,118.78566345472917,HAM
13,229.66353073529797,229.01611289326766,HAM
14,274.125166976,272.1811594202899,HAM
15,218.2051564263677,215.51199925284178,HAM
16,210.9211508,207.00192012288787,HAM
17,253.81244881783243,253.01589503209877,HAM
18,207.08610922020202,193.03347003209896,HAM
19,199.2680731706898,194.3421828133922,HAM
20,267.49573883733336,267.34074829418176,HAM
21,287.1385868985507,285.0144669747412,HAM
22,172.98317359942627,166.52280586725115,HAM
23,222.18158006121834,219.70643544484187,HAM
24,274.7913414843197,272.41857646349206,HAM
25,285.72636810217574,,HAM
