Minisector,VER,STR,Fastest
0,294.60042982617733,291.69184791885715,VER
1,308.2170832059259,303.7657258828011,VER
2,312.81507789444055,309.357833343256,VER
3,315.239000192,307.9210571585185,VER
4,184.67360545393416,193.53753594183567,STR
5,217.20296244311763,214.03754225015874,VER
6,269.91815428571425,266.4112864618735,VER
7,262.5445688465876,269.5161485583673,STR
8,185.39013423972247,180.17309098393633,VER
9,142.89305874353875,144.66817633547507,STR
10,178.7636438927473,183.215594809958,STR
11,256.1953962502618,259.5067781354882,STR
12,247.08079405756106,247.78302875712833,STR
13,225.38012413675503,226.11418890432236,STR
14,263.9209198041366,266.99069301225603,STR
15,160.4956008859152,163.56708596685667,STR
16,220.10413735963223,219.64302468239617,VER
17,238.61102867712307,235.11265618899645,VER
18,132.37131296922306,134.43454082247308,STR
19,236.43036333108415,244.25579765124817,STR
20,280.0112992137143,281.15190404569574,STR
21,244.24969578567305,227.27781606322424,VER
22,136.06328044723512,136.1947307946425,STR
23,201.3006803212069,209.44951231001517,STR
24,269.8164980814368,269.235568449905,VER
25,284.01500032,,VER
