Minisector,RUS,HAD,Fastest
0,289.0042733757087,287.6609683390899,RUS
1,308.55310455151084,304.05829753953935,RUS
2,309.3297828730435,300.26041106830996,RUS
3,202.6927814640645,203.72241385689293,HAD
4,236.75151752998306,236.54590795147166,RUS
5,224.62053386035262,223.9457533511111,RUS
6,207.04567057109364,207.24208763994417,HAD
7,229.9788643759674,232.83344417668937,HAD
8,266.8775088556329,269.3471033927828,HAD
9,277.3432524637681,268.07070980392155,RUS
10,172.7854381363861,180.10518937866124,HAD
11,239.45892327147587,235.33853965366254,RUS
12,111.1641201586759,120.217687460836,HAD
13,224.62052997594938,224.99842636555928,HAD
14,279.92092941966143,278.31831543263667,RUS
15,295.6879933509642,290.21276420271283,RUS
16,218.2679500574752,213.71758065519836,RUS
17,182.9126704360958,192.62989562299356,HAD
18,268.2200490143271,269.18552864196647,HAD
19,294.6961577280412,294.03798916810456,RUS
20,307.43526917160176,304.9591794480808,RUS
21,307.20164571199996,304.6114105067771,RUS
22,272.16582748018783,263.08839956910055,RUS
23,118.79888112152891,120.68992885659671,HAD
24,247.20795238905885,248.3293535352396,HAD
