Minisector,SAI,RAI,Fastest
0,274.3979332969428,269.84850613005887,SAI
1,289.08118280084653,285.64557402495535,SAI
2,284.6467446088596,276.3785173135762,SAI
3,174.37505451029972,176.5316322234857,RAI
4,133.33130566817292,130.44654163836734,SAI
5,246.3994159325705,240.4025049145421,SAI
6,282.0289229241796,278.5520415152221,SAI
7,281.1726200278177,285.64281445535715,RAI
8,178.2555294988747,178.1702934265949,SAI
9,146.76962731313375,147.8875641403458,RAI
10,254.41490427034645,251.30023845712319,SAI
11,284.14357108717127,280.4557019700102,SAI
12,287.7756533534651,290.32746217835495,RAI
13,275.25442483219393,286.2450293705669,RAI
14,291.2363219367267,294.28739925611467,RAI
15,299.0210307224268,289.9473849962093,SAI
16,263.17466332989784,256.8934607963763,SAI
17,240.06143174826366,233.84473621396103,SAI
18,282.7097954468484,278.67986856938006,SAI
19,300.0366566418141,297.5616288872727,SAI
20,304.4236342289537,303.6926244417333,SAI
21,227.53983194349024,236.31084585731674,RAI
22,258.6554882923725,255.2159276481884,SAI
23,139.28833899486318,143.05104826392918,RAI
24,224.08782217038487,220.61469475803833,SAI
25,258.3640190489656,258.27800728059174,SAI
