Minisector,VET,GRO,Fastest
0,307.4738847928345,307.7647937381812,GRO
1,237.80091041320534,233.24219515409473,VET
2,144.49142817946864,137.65681878603087,VET
3,230.04720292583715,221.40423463104005,VET
4,268.18988916128774,265.91594745845003,VET
5,289.6084272338661,288.6426266634629,VET
6,303.24236339621694,302.806832109884,VET
7,289.07619386359016,281.95859253333333,VET
8,183.53160219737336,171.04949187094323,VET
9,241.95766700150585,240.30632860104615,VET
10,274.1775599613006,275.15400695864014,GRO
11,277.6618369901488,265.9667703983216,VET
12,219.9254866661742,208.48437481212122,VET
13,138.078896513175,132.12067010214457,VET
14,126.93873244656956,124.96586687745207,VET
15,180.18973525675548,173.69986893199786,VET
16,124.88869480741899,122.21186522153496,VET
17,231.895532939048,231.86794691047618,VET
18,210.8879002563015,197.73076735888756,VET
19,162.1650321065855,164.4848290541521,GRO
20,245.64114899019282,252.86228604554424,GRO
21,277.11285671746674,281.613281,GRO
22,293.4507880723902,296.00835750922425,GRO
23,302.54123939562885,304.3480627108957,GRO
24,307.87564883311734,307.630774273537,VET
25,308.66250026666665,309.0,GRO
