Minisector,BEA,LIN,Fastest
0,306.0808475343915,298.4295430523996,BEA
1,193.15481798389226,206.3799578845019,LIN
2,211.41138108496992,222.46491459809525,LIN
3,264.42488547463205,272.2452286695554,LIN
4,223.27332849993266,243.55625185026912,LIN
5,125.9043252984258,120.68529544921466,BEA
6,205.91241708701537,195.28803196685047,BEA
7,244.55295749047397,242.54943145281382,BEA
8,236.5698893291005,232.9180989249624,BEA
9,228.85567429300207,226.89133112310893,BEA
10,284.08990424644,281.14753187479425,BEA
11,309.59313442793655,307.3425765663167,BEA
12,323.7988540773333,322.94119180847116,BEA
13,322.32127032423045,324.4506838897433,LIN
14,312.49384007825626,316.9604338646926,LIN
15,246.9447290972583,242.3138874179932,BEA
16,227.4908855438127,223.18971626620493,BEA
17,270.9766748943377,275.36376396557256,LIN
18,280.7849559990857,290.3710455278499,LIN
19,157.61809288812586,155.5574310924172,BEA
20,189.61217459853313,188.8629089457332,BEA
21,177.18537845887096,180.1428868521974,LIN
22,122.92308616779337,122.84363988890817,BEA
23,235.5795658903424,228.63577602288728,BEA
24,289.82074154290285,284.9352298372684,BEA
25,303.9624992,293.7775184,BEA
