Minisector,SAI,PER,Fastest
0,269.61555428131373,273.1947756213585,PER
1,288.1770998789035,292.4913540920635,PER
2,288.2587656606211,291.26468041370197,PER
3,181.66030546342353,182.3338242767181,PER
4,124.09028513102453,120.4889668608259,SAI
5,234.3883842871795,235.14548075947823,PER
6,274.7672968870037,276.8054043961887,PER
7,281.8261957538717,290.6281214541991,PER
8,188.00079706950098,175.9508096658642,SAI
9,145.37985411047705,141.49181578259999,SAI
10,245.37847145818182,248.33613276160003,PER
11,281.307872414409,284.1135890057089,PER
12,296.34228170307455,294.29677035691,SAI
13,284.0869574432323,280.50081403370854,SAI
14,295.7854707934199,295.6614595430627,SAI
15,293.3959648748538,300.16479258154214,PER
16,248.10756243482004,246.21758908636787,SAI
17,218.03220441520733,220.1677851560911,PER
18,270.20287867580504,274.6247672599184,PER
19,293.0289255204294,296.7283093834302,PER
20,295.77618097683745,303.9085511741542,PER
21,234.39764276825434,224.4112960461861,SAI
22,254.32990775454093,256.3013032909206,PER
23,139.09525352795737,131.94710920708033,SAI
24,215.90815656462877,219.87274488166383,PER
25,253.218748,,SAI
