Minisector,NOR,VER,Fastest
0,295.9930331243513,294.12602775820665,NOR
1,173.38217128664502,166.36727668257933,NOR
2,177.199034613663,177.78662368459328,VER
3,252.80521506917393,251.8232843276334,NOR
4,287.37757702702027,284.0221706764289,NOR
5,253.6841254969697,260.7285118114286,VER
6,229.24943031077254,228.13188614509403,NOR
7,154.96718084466875,151.83054542746203,NOR
8,225.7814968370068,222.4008351753484,NOR
9,280.39660791665705,278.3200400237037,NOR
10,301.3426601732,299.58107480886974,NOR
11,311.701276477193,310.84325984174984,NOR
12,316.6612433801631,315.38846760293427,NOR
13,314.16517138257495,317.0764677257143,VER
14,138.01268036871068,132.7900199959011,NOR
15,119.51339316631562,120.97580746094785,VER
16,102.84840162510747,103.90975189239735,VER
17,234.7718671453968,229.02020015633258,NOR
18,285.0598270657924,283.22120336922154,NOR
19,305.7063211688312,303.65332514938774,NOR
20,316.1916942953651,313.89462272727275,NOR
21,317.91528306646273,315.8611702057093,NOR
22,127.4991159004056,130.23372751430804,VER
23,207.2156135949384,197.78863960707872,NOR
24,272.70026648194954,268.8029215753087,NOR
25,286.5249984,285.32499968,NOR
