Minisector,HAM,OCO,Fastest
0,300.08032960525435,306.36182301793247,OCO
1,228.93905938285712,212.5000987340413,HAM
2,130.15851961184296,125.42586736624634,HAM
3,219.78104625632653,223.5674079283502,OCO
4,261.8639719230139,262.3326993777778,OCO
5,284.22307650038493,289.1698232011544,OCO
6,295.7461344578151,303.62914920070205,OCO
7,267.98731875780874,270.6959716223204,OCO
8,170.28721637096328,169.42790692616717,HAM
9,235.82019453850467,234.9513808851462,HAM
10,271.76680144179204,271.838637004657,OCO
11,237.44253175940182,259.8339345815722,OCO
12,197.77195259981633,202.16082442881378,OCO
13,119.48363672126983,123.78426801318064,OCO
14,124.55561317304546,120.18292828178339,HAM
15,152.29990351286665,164.05705433346813,OCO
16,129.29814745895305,120.52963854362626,HAM
17,227.58903208403808,222.8912999942335,HAM
18,172.80919071408593,170.47436410369593,HAM
19,155.99770251897948,156.87471781465499,OCO
20,245.89181494233765,245.06041610666665,HAM
21,270.58703473306946,278.0696640199376,OCO
22,287.1085622247619,299.2732587757143,OCO
23,295.34592325019605,320.57857119307357,OCO
24,298.8096405333333,325.6870758642677,OCO
25,,328.0,OCO
