Minisector,SAI,NOR,Fastest
0,296.4162728967282,297.57046151898345,NOR
1,225.25541896892562,222.39690479714938,SAI
2,231.49722370087113,232.36437700266666,NOR
3,276.64947153939397,276.70591447377365,NOR
4,251.6913992961401,248.66270885350656,SAI
5,128.65326448060287,131.5441359124718,NOR
6,214.4716939868783,213.34963826232521,SAI
7,265.4507171157098,267.63366003324677,NOR
8,250.98028906079847,252.57772176150522,NOR
9,244.09050787214068,243.12037501011892,SAI
10,279.56462858327694,279.5175390069347,SAI
11,294.62217380136053,294.64436314436676,NOR
12,301.617169824355,305.3375055158277,NOR
13,305.6434125172487,310.0314503607369,NOR
14,304.6947316519529,309.63553940705884,NOR
15,257.9816441139231,269.2720095987741,NOR
16,247.08574627885386,254.13799201165736,NOR
17,280.78596909189645,283.5296508081633,NOR
18,292.6829165155556,294.97872965157205,NOR
19,165.3111291536853,162.24967148525263,SAI
20,212.776448708673,213.1295860254319,NOR
21,182.96245796669012,169.16674783717633,SAI
22,142.99189226324395,146.09007998039732,NOR
23,243.27237547329193,246.52282019824582,NOR
24,283.9871151912156,285.2673944912917,NOR
