Minisector,RIC,LEC,Fastest
0,282.29629777777774,287.94632445490197,LEC
1,129.621403562477,124.54855191436475,RIC
2,167.62634856208163,162.48960471814394,RIC
3,223.36729226666665,216.0029123243114,RIC
4,170.31273782623765,159.92390756825398,RIC
5,246.38662640072985,242.39644629783106,RIC
6,219.66704766060604,212.61564155151515,RIC
7,139.23211178719222,134.56510047807322,RIC
8,235.69669990893289,232.4188974857143,RIC
9,275.87328409635853,275.3505511220831,RIC
10,278.68578560000003,285.20208484444447,LEC
11,146.74455863988547,148.40793505285873,LEC
12,223.31422958951515,218.31081194920634,RIC
13,269.96966708891733,267.6710778352941,RIC
14,270.73235312941176,275.618387621034,LEC
15,106.71908880653383,104.35559011762966,RIC
16,220.74395749391502,218.78789597460317,RIC
17,273.71214307220976,270.5388881777778,RIC
18,294.5319841930159,292.23999742510534,RIC
19,304.72281098140905,303.9263019333333,RIC
20,310.099000010898,309.95166656000004,RIC
21,292.5174098,284.738031800148,RIC
22,159.39902986666667,151.28542627096775,RIC
23,237.9640354245614,234.120485724025,RIC
24,279.8270760309385,276.7171873333333,RIC
25,291.03333333333336,288.820832,RIC
