Minisector,OCO,ALO,Fastest
0,290.98906213333333,287.08259846274507,OCO
1,301.72662856666665,291.80963553333333,OCO
2,158.4149164001242,166.4145388680653,ALO
3,222.0687136721885,225.94078790683406,ALO
4,276.6271941904762,273.30000786859455,OCO
5,296.69886087316917,288.59472256000004,OCO
6,305.3466145333333,294.31639356955736,OCO
7,178.24098388338882,168.69632867539536,OCO
8,124.19762391487765,128.53879584005526,ALO
9,249.79800908935502,246.80767952761903,OCO
10,285.60499996444446,278.1979789342689,OCO
11,297.90026033333334,286.0345588705882,OCO
12,150.91850652687057,145.1893601718293,OCO
13,189.89719181180476,193.82866890931726,ALO
14,260.6357445427984,255.59868440701752,OCO
15,194.66284791111113,198.54704351229014,ALO
16,217.34598110838652,218.31733230711075,ALO
17,208.02424281212123,220.79197307594544,ALO
18,240.7701945939022,244.6015730851957,ALO
19,274.6416665098039,272.8991191037714,OCO
20,292.34834447619045,288.09880926666665,OCO
21,255.79396956087314,268.4470597647059,ALO
22,218.54394007272728,224.7489844054267,ALO
23,201.64015132121213,207.76977711515153,ALO
24,265.46842173007394,262.3454044289333,OCO
25,284.18333226666664,277.5458336,OCO
