Minisector,TSU,STR,Fastest
0,249.9235605388006,250.34847826497355,STR
1,211.18241928066485,206.1336555097345,TSU
2,202.65008363848932,209.71968672435375,STR
3,258.12903644971044,261.9302412303345,STR
4,272.48155281535355,273.4385912152381,STR
5,286.2010222419753,289.3985911032381,STR
6,161.79456666517532,152.8122999876886,TSU
7,183.15035180161092,187.3979643001371,STR
8,264.90102113630854,266.7206521261008,STR
9,289.01532914378066,291.4978520070172,STR
10,299.9144135545679,301.90143995791385,STR
11,302.27141357656564,297.253703969161,TSU
12,112.43219358476598,111.85529048453984,TSU
13,194.78321567324252,188.9136201609408,TSU
14,268.70574676611693,268.10617396363637,TSU
15,291.36780832608764,291.79658590364016,STR
16,296.4620109714286,292.70075137539607,TSU
17,176.59875244624064,181.45871996869633,STR
18,220.46803204217687,214.8727684842328,TSU
19,266.18559163336687,255.10236509890072,TSU
20,147.3366529037838,152.6329485458503,STR
21,143.50803462975907,146.2255637353916,STR
22,219.73255475777697,217.1555755548707,TSU
23,231.00773765286235,224.78495592685715,TSU
24,156.38882131692498,161.81208776382914,STR
