Minisector,HAM,ERI,Fastest
0,275.2705498617914,274.7806723764706,HAM
1,300.64130116923076,302.3614578,ERI
2,313.91932588698415,316.05819372976237,ERI
3,322.85633924568606,323.2610119619048,ERI
4,327.6526985567006,326.9661863834012,HAM
5,323.71471031292515,329.2625001142857,ERI
6,199.19629560154465,197.88106830933077,HAM
7,108.15533606027451,105.92849997140704,HAM
8,189.15306465988672,189.33442926496133,ERI
9,259.9743066074074,262.4231474962963,ERI
10,287.6915706986775,287.3871830653968,HAM
11,164.456479480776,161.85576947914615,HAM
12,97.3557124103671,96.76511733813946,HAM
13,118.78968274435182,115.49976552900175,HAM
14,222.6537276234241,210.93198060606062,HAM
15,190.18173619957528,175.5491039322603,HAM
16,221.8701485714286,206.8754061229437,HAM
17,179.86771849738258,167.6471372800978,HAM
18,236.44363081904763,232.17916639999999,HAM
19,278.8802326936934,276.97405611642296,HAM
20,241.28815859649126,241.32850930526317,ERI
21,144.36342722150482,143.81033546034826,HAM
22,100.6792310578748,96.95613007698613,HAM
23,127.54333302857142,122.24611519197997,HAM
24,228.55659236423375,227.18713383272348,HAM
25,259.28333226666666,,HAM
