Minisector,ANT,RUS,Fastest
0,283.4222383085236,293.44521872442687,RUS
1,153.78787376556662,160.75869554821344,RUS
2,165.8208445846184,163.48386164952504,ANT
3,246.96024367171503,244.9741257148718,ANT
4,267.8673684210526,268.9190251951561,RUS
5,245.0464203491364,236.98360663042737,ANT
6,214.88876695511024,212.18425217460705,ANT
7,143.52167826363387,143.17310478523342,ANT
8,227.58339902268398,228.9632963095994,RUS
9,299.32839673377197,303.95205458106443,RUS
10,321.107436033115,324.3478305452945,RUS
11,325.48754167466666,330.6063155957895,RUS
12,317.96399697234295,326.69613441791944,RUS
13,310.8164457825427,321.8130494036105,RUS
14,125.367183438346,128.48495992934096,RUS
15,115.74442709599639,113.89678301366204,ANT
16,99.12454581327354,97.9132840921935,ANT
17,239.94448240899473,241.57525292698412,RUS
18,306.15584704903864,305.7398452525421,ANT
19,317.6121522309775,327.60308362666666,RUS
20,314.8109062533333,328.2773629281937,RUS
21,312.5970944296613,324.7221601647118,RUS
22,122.75939297044481,124.61088810420857,RUS
23,205.85184332538415,197.42922730888975,ANT
24,269.99526363659464,276.2651328522191,RUS
25,,285.0,RUS
