Minisector,VER,BOT,Fastest
0,249.38007697083134,240.01180866951745,VER
1,128.74844669879087,124.19664047445886,VER
2,195.51848224432499,196.90356650136795,BOT
3,244.12331141406452,240.76205428571427,VER
4,257.582701357037,250.52888763259259,VER
5,174.02104261659866,170.01315526656342,VER
6,144.3967283948736,141.40084589477382,VER
7,177.6899999841626,181.42760551055412,BOT
8,102.26832098306306,105.25504941742946,BOT
9,75.72108143933504,74.35443071469584,VER
10,95.89673283339188,91.91725967155728,VER
11,181.03981026872438,183.06448645614037,BOT
12,240.03141306711228,242.32342020888495,BOT
13,256.99053308329,265.8098266888889,BOT
14,262.85532582548484,267.72129635116886,BOT
15,103.65009586431286,108.44832069440378,BOT
16,165.9568484365088,145.61907888729937,VER
17,185.1680781806098,177.46268050927318,VER
18,195.42878831814474,191.53370456810745,VER
19,207.76862659499116,206.5358422632079,VER
20,132.41714328126983,129.92015869943825,VER
21,109.5977539005001,121.13501656221975,BOT
22,97.0372662833624,92.79089869176471,VER
23,205.07764263103334,191.76852903978167,VER
24,249.81627484675323,247.09608280999004,VER
25,,261.5666688,BOT
