Minisector,RAI,SAI,Fastest
0,251.85190692763356,250.91049525652218,RAI
1,284.73956911733137,281.78729130666665,RAI
2,174.1123178498277,169.60284408353172,RAI
3,163.47008506389201,167.06996562367164,SAI
4,259.6621216,255.51969378716353,RAI
5,275.33842229526715,267.29196899332266,RAI
6,233.553624544,222.47517701305114,RAI
7,207.0642310181695,200.56056595850248,RAI
8,164.95899654965987,159.59124395458193,RAI
9,220.74372692546757,224.30842609894768,SAI
10,271.24325424761906,270.55738632727275,RAI
11,133.67001242424033,131.73417299434516,RAI
12,216.64014606987436,214.0448547779254,RAI
13,278.35479057414966,276.31236387186146,RAI
14,299.17828951578946,296.9805370505074,RAI
15,305.53636911238095,304.60745611228066,RAI
16,242.6845228312381,232.21751653982886,RAI
17,130.09848273971312,130.73151347745258,SAI
18,127.39687796069963,128.03515496298078,SAI
19,118.80030932227494,120.8941322950859,SAI
20,227.16664952144532,217.86720483415078,RAI
21,253.7528987826087,249.45634225564052,RAI
22,236.8107231058349,233.46042963528717,RAI
23,217.08155182275016,210.4254745934408,RAI
24,137.0385676948276,135.14336591020407,RAI
25,,219.44791466666666,SAI
