Minisector,BOT,OCO,Fastest
0,324.40905905573317,320.77381928663544,BOT
1,334.0350906702948,329.14311573333333,BOT
2,338.95286260819046,324.9343614060606,BOT
3,192.30453319267397,209.4695682546062,OCO
4,120.70254230056497,113.64418739377729,BOT
5,268.0515172228278,260.9677803604112,BOT
6,306.5479166666667,299.499907708597,BOT
7,322.4734848969697,311.5207709107559,BOT
8,279.8103740702828,284.49633339733333,OCO
9,141.04928897326067,143.9902232087871,OCO
10,230.59725461136713,222.30946129463504,BOT
11,212.23409018511666,219.21569658437704,OCO
12,197.655442445541,200.44551205788656,OCO
13,270.79444448395066,266.3730211421963,BOT
14,311.98754140183223,304.15036266666664,BOT
15,330.1386963506128,315.80985405501,BOT
16,270.04026678969774,271.7862199647266,OCO
17,196.5936039226178,202.34947839347697,OCO
18,269.46661817325025,268.1930744804432,BOT
19,308.45316117321215,304.40632481508925,BOT
20,325.5151515151515,316.7663043710145,BOT
21,316.360981068739,309.12806488561944,BOT
22,205.89288410517887,209.62735068539203,OCO
23,263.59219381210136,261.56049054697064,BOT
24,306.4180951710476,301.4238157236141,BOT
25,,315.43333333333334,OCO
