Minisector,BEA,STR,Fastest
0,284.83803100952383,279.4016809534923,BEA
1,300.185423079873,297.0270973659344,BEA
2,235.77218901542852,233.52108045206347,BEA
3,113.97550214823248,119.76315061967543,STR
4,136.6174748357897,133.32308515255613,BEA
5,252.82392484554342,248.46314213486554,BEA
6,261.3930877596265,257.7950464710524,BEA
7,123.06806125433361,126.38159060829905,STR
8,245.99892392675608,245.26851903269426,BEA
9,252.46984007794873,239.25313985743585,BEA
10,198.84513718210053,201.92201910795907,STR
11,137.47593697315577,146.5291424027781,STR
12,204.53624543182684,207.39566195137064,STR
13,266.3715766316238,259.5115352416031,BEA
14,119.60700346408501,116.53637887302496,BEA
15,192.5207968949459,196.15255430090366,STR
16,261.041697392776,262.20778931710146,STR
17,291.4549856156391,293.5873647186147,STR
18,304.6717877577948,309.92948524668265,STR
19,312.09490731851855,323.9207570309467,STR
20,313.1318356154774,332.7889880952381,STR
21,170.1945061019396,150.00835776502763,BEA
22,153.79646872610118,166.08566821781264,STR
23,206.17233754457578,200.8853528911565,BEA
24,240.4674829450093,240.3022272041189,BEA
25,271.70999808,,BEA
