Minisector,PER,GRO,Fastest
0,277.55383101809457,273.0743558984127,PER
1,296.79318204675326,292.83375158165256,PER
2,232.00846932204584,236.08244777989418,GRO
3,128.23907338107662,124.16334527647183,PER
4,186.37350856906383,180.09564724428623,PER
5,118.26456936582092,119.91669130037862,GRO
6,214.16046634876847,205.4586784340166,PER
7,264.4948739937443,262.0227500627596,PER
8,175.69958699542101,180.6394858749701,GRO
9,182.03058223399643,174.05677176320643,PER
10,266.97152693333334,260.4356407619048,PER
11,183.2438210705288,191.78049466866045,GRO
12,166.01662840877896,159.30623633142858,PER
13,259.54989710795485,252.72128440492233,PER
14,276.28260823188407,270.642714624,PER
15,289.99346295924886,285.829896284109,PER
16,201.26720626236562,205.6374668809524,GRO
17,198.8050090534627,192.92428085601264,PER
18,244.36048346373627,234.87932246913581,PER
19,285.86161592981716,279.5270451677019,PER
20,297.2760009489177,292.34090933333334,PER
21,204.0396124374947,208.25402914408605,GRO
22,146.37312024744895,136.25231883282675,PER
23,156.88745036250683,154.55184613073985,PER
24,227.4198381505754,217.11932936202132,PER
25,261.61250240000004,256.6142857142857,PER
