Minisector,VER,ALO,Fastest
0,272.54683324266665,271.448582776,VER
1,245.51750954550843,247.82534509968255,ALO
2,117.95407132223019,116.61604820032521,VER
3,176.5303038709841,170.59667857460317,VER
4,194.89585598817084,192.12233956915352,VER
5,198.8609649721039,198.2528755978836,VER
6,264.33602710857144,264.555985674908,ALO
7,286.5288562154882,289.46210467463203,ALO
8,235.4076778359977,222.96054347918798,VER
9,155.3551703658558,146.69214686309581,VER
10,120.65127033013033,121.37718153392501,ALO
11,149.59767969536065,150.39905676523907,ALO
12,242.95725892155843,244.63675688126983,ALO
13,143.85779134490426,149.51338326308465,ALO
14,154.3319458190556,147.60984845403365,VER
15,107.6880779764918,104.32466047710157,VER
16,220.17391727511026,215.72786261671956,VER
17,229.682646236965,238.1493465242059,ALO
18,128.3000271421852,128.82623212505464,ALO
19,239.8435268227119,240.77569957185185,ALO
20,274.28488117769786,277.2246234927561,ALO
21,200.36580546156202,202.94627820571404,ALO
22,154.55877061873497,148.4122404203896,VER
23,218.67378252493654,213.3962132272762,VER
24,230.35533696202253,226.719160261139,VER
