Minisector,ALO,NOR,Fastest
0,295.00223221801025,289.17187504,ALO
1,222.22636197460318,209.9149095013278,ALO
2,142.6244362385113,142.9749654772487,NOR
3,218.86934499047618,221.07792902273073,NOR
4,157.8132654507754,154.58785846857143,ALO
5,177.86451229425288,175.74395953135874,ALO
6,248.54972594154518,247.30178453333332,ALO
7,272.26228087017546,269.35617877188207,ALO
8,279.6414474105263,277.3311402105263,ALO
9,260.9544096351489,251.96686628571427,ALO
10,245.3696431238095,240.4856224106553,ALO
11,239.0276055671334,241.5825771151515,NOR
12,206.2934429862018,208.40908086369967,NOR
13,138.57698078337472,141.01713337927725,NOR
14,143.88518462222223,149.57683238233557,NOR
15,176.1849187428652,186.5327358419753,NOR
16,253.23809574603175,253.94274097603522,NOR
17,239.49331476212976,247.56615647445886,NOR
18,112.1975570095238,112.75806735886525,NOR
19,196.40533949015537,196.15308412839508,ALO
20,193.65055226666666,193.27167178758518,ALO
21,232.66675033419767,232.56412911304346,ALO
22,261.5400895314286,259.3739362301091,ALO
23,277.5921054877193,274.79205702036285,ALO
24,289.47496705396173,285.0837960888889,ALO
25,292.62916693333335,289.0,ALO
