Minisector,ALO,OCO,Fastest
0,299.5868653883948,297.33151248592594,ALO
1,243.35014004000598,253.89696381335978,OCO
2,132.5421965414522,127.31672199884139,ALO
3,229.2854608410766,235.3479008246962,OCO
4,191.70286529509298,191.89964121045216,OCO
5,244.59373072298754,244.06823076706667,ALO
6,234.94254979184439,229.0138425754249,ALO
7,256.2880402770881,250.9071313595276,ALO
8,284.07465677963637,282.59822838740814,ALO
9,211.99691318672438,216.16477760688863,OCO
10,208.04073058185728,194.50834181303455,ALO
11,271.3974225252174,267.7965104128405,ALO
12,210.26159003530665,215.50923004569955,OCO
13,251.5499653823129,244.01175536435127,ALO
14,289.12941312574355,285.8064863178461,ALO
15,303.51637290571426,301.1575642993682,ALO
16,299.88990493188214,298.7884193813619,ALO
17,212.31086047353534,215.69488845010986,OCO
18,255.3160158672374,258.4739923754643,OCO
19,291.6758845316306,291.9243300432298,OCO
20,305.2639354424963,305.1238629422222,ALO
21,310.4237500088889,310.7640833584762,OCO
22,160.1645153916969,158.62414247856205,ALO
23,232.58110951528565,224.6078944698003,ALO
24,284.6630600759596,280.97116787492314,ALO
25,293.00713874285714,292.0045463272727,ALO
