Minisector,LEC,PER,Fastest
0,297.883928431746,299.3724206222222,PER
1,301.6491227508772,302.32648689301357,PER
2,301.65796077886347,296.2320802005013,LEC
3,215.41466168888888,220.38333333333335,PER
4,223.52503048144808,222.4040688788726,LEC
5,119.40640751719013,117.55680076070652,LEC
6,223.96399880533332,227.37549994666668,PER
7,264.4439390545454,267.55158730158735,PER
8,233.41992850856784,224.60416689230772,LEC
9,122.02999788432146,124.06691856452726,PER
10,238.76775262608697,242.0472221777778,PER
11,247.15766737066667,236.88711603904548,LEC
12,133.60360335450565,134.52301587301588,PER
13,218.73951659775258,220.03684637589092,PER
14,264.2360503652174,267.0801586793651,PER
15,216.043311265295,217.34336236529236,PER
16,167.45465565490196,168.34240169411765,PER
17,244.8266821877005,238.47292471236605,LEC
18,127.73645326376811,120.73105386053528,LEC
19,149.66963580589496,146.03485372589697,LEC
20,203.7541438802721,204.8906171755891,PER
21,255.87435354985294,255.95600646926405,PER
22,272.61456828952385,273.1373015873016,PER
23,281.8763887238095,282.32229636991167,PER
24,290.5048806857143,291.65687493333337,PER
25,295.33333333333337,,LEC
