Minisector,LEC,NOR,Fastest
0,237.54768283061009,234.27757920743232,LEC
1,287.59235618622307,282.43170137777776,LEC
2,303.1949699899354,295.9643153160009,LEC
3,309.9636157013151,302.16421167424005,LEC
4,268.6471653681669,264.57741205770617,LEC
5,171.31254093332274,168.13621551161614,LEC
6,267.0585447383432,262.6975638783837,LEC
7,285.77874890927865,279.84048963247506,LEC
8,220.44815776688225,208.17265929997487,LEC
9,226.05128339924903,225.2874578354092,LEC
10,184.44266421203673,172.859597095001,LEC
11,227.36564670164577,226.61832231645928,LEC
12,210.32387910747016,201.24415502746297,LEC
13,216.45474494754157,206.67118719673604,LEC
14,227.37618839961502,227.53104663567933,NOR
15,184.81074349788852,177.3518578054821,LEC
16,252.7855169402003,253.4544116342393,NOR
17,292.13089893356874,285.212779415585,LEC
18,305.89702389841267,297.00468675795906,LEC
19,301.6601901286389,279.0168302570412,LEC
20,133.94418149284485,127.61326331041963,LEC
21,165.7557472485355,148.2454798580248,LEC
22,149.2613210154159,164.252809738911,NOR
23,208.71683581282332,193.2886945073819,LEC
24,149.61363455311027,145.09666757441468,LEC
25,191.31799690229371,,LEC
