Minisector,VER,PIA,Fastest
0,326.59965120701327,321.8654399085235,VER
1,336.50178810561323,329.4979024521212,VER
2,333.4646033192868,331.3304107579221,VER
3,196.75084418054155,204.11161479793208,PIA
4,131.18539534908004,132.066830898862,PIA
5,268.491780004794,269.2382352294603,PIA
6,304.30483539694086,302.2381946893444,VER
7,318.1723824323882,313.8375816993464,VER
8,276.91826212052877,278.56264541230695,PIA
9,146.05216030795134,152.09670057973233,PIA
10,224.3679398578597,231.1534635474576,PIA
11,233.82846511501307,231.2310272408333,VER
12,207.8747975911549,213.10222230594417,PIA
13,279.8365956519712,269.6246955013901,VER
14,311.86754808990474,305.4136797746106,VER
15,324.9116439448068,316.9148016253968,VER
16,278.715478367205,285.1213261784494,PIA
17,223.43620464738538,220.4197619699565,VER
18,279.1155193164001,277.9326820540959,VER
19,312.8263753004572,308.47434835331984,VER
20,324.67341047308645,320.8778393966843,VER
21,309.6096542098551,308.9126276969122,VER
22,227.65936809011168,225.95614902966113,VER
23,275.76631634108355,270.2785541427453,VER
24,309.8683783803896,306.724243932524,VER
25,,316.2,PIA
